zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,A02650,A00200,N26270,A26270,N03210,A18425,A18300,A04800,N12000,A12000
62858,3,220,60,150,0,180,500,130,13559,13821,10409,30,118,30,0,0,8753,0,0
62858,4,130,30,110,0,110,330,100,10857,11019,7879,0,0,30,169,241,7752,40,80
62858,5,150,0,140,0,130,400,130,19371,19884,12921,40,1305,0,0,0,15364,0,0
62858,6,30,0,20,0,20,70,0,7758,7758,3177,0,0,0,0,0,6592,0,0
62859,1,960,650,140,150,690,1270,360,11902,12054,8759,0,0,0,0,0,1958,0,0
62859,2,580,270,200,100,440,1100,320,21503,21810,15804,30,18,40,0,0,11013,40,101
62859,3,360,100,220,30,300,850,270,22440,22710,16621,30,114,30,0,159,14768,0,0
62859,4,230,50,180,0,200,600,190,20049,20218,13427,0,0,20,0,0,14675,0,0
62859,5,260,20,240,0,230,730,230,33392,33880,22153,50,1806,20,282,289,26587,20,195
62859,6,50,0,40,0,40,140,50,14712,15029,6653,0,0,0,0,0,12694,0,0
62860,1,80,50,30,20,60,110,30,861,861,602,0,0,0,0,0,93,0,0
62860,2,50,30,0,0,50,90,20,1954,1987,1519,0,0,0,0,0,1060,0,0
62860,3,50,30,20,0,40,90,20,2846,2846,2095,0,0,0,0,0,1972,0,0
62860,4,40,0,30,0,30,100,30,3288,3377,2210,0,0,0,0,0,2372,0,0
62860,5,40,0,40,0,40,120,50,5366,5366,3303,0,0,0,0,0,4320,0,0
62860,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62862,1,50,30,0,0,50,70,0,724,744,482,0,0,0,0,0,0,0,0
62862,2,30,30,40,0,30,60,50,1099,1099,784,0,0,0,0,0,687,0,0
62862,3,30,0,0,0,40,60,0,1508,1508,1015,0,0,0,0,0,981,0,0
62862,4,20,0,40,0,0,50,20,1786,1786,1993,0,0,0,0,0,1278,0,0
62862,5,20,0,0,0,20,40,0,3442,3442,0,0,0,0,0,0,2695,0,0
62862,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62863,1,1450,1000,230,210,960,1820,460,17137,17383,12994,20,-14,0,0,83,2583,20,27
62863,2,1020,500,330,160,760,1900,550,37888,38357,28494,30,294,90,0,0,19879,30,35
62863,3,650,220,380,60,520,1500,470,40034,40561,28974,30,162,50,106,200,26600,30,54
62863,4,480,80,390,0,390,1250,370,41713,42188,28271,40,592,40,0,0,30252,30,84
62863,5,560,60,510,0,470,1600,540,73372,74167,50951,90,1766,60,320,434,58865,60,248
62863,6,100,0,90,0,100,250,60,53007,53949,13212,60,19389,0,878,367,45267,30,978
62864,1,4320,2770,520,950,1920,6420,2150,54487,55160,42297,40,1,90,0,92,8949,40,51
62864,2,2500,1230,710,490,1230,4650,1450,90328,91038,72176,50,253,180,52,173,47472,50,77
62864,3,1480,500,810,150,880,3230,940,91004,92089,66849,50,864,140,153,410,60861,50,100
62864,4,960,170,750,40,600,2380,670,83431,84180,58678,40,738,100,210,478,61223,40,102
62864,5,1040,110,900,30,750,2700,770,136496,138465,88003,120,2981,120,790,1252,109174,80,399
62864,6,260,30,230,0,240,690,190,113871,116191,58010,120,14313,0,2713,1039,102632,70,1205
62865,1,300,190,60,40,160,400,100,3670,3735,2439,0,0,0,0,0,495,0,0
62865,2,190,90,70,30,110,340,90,6885,6944,5083,0,0,30,0,0,3525,0,0
62865,3,140,40,80,20,90,290,70,8377,8493,6560,30,313,0,0,0,5555,0,0
62865,4,100,20,80,0,60,250,80,8572,8625,6377,0,0,20,0,0,6285,0,0
62865,5,150,0,140,0,100,410,120,20933,21134,14015,0,0,0,0,0,16979,0,0
62865,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62867,1,80,50,0,20,60,110,30,1042,1072,828,0,0,0,0,0,140,0,0
62867,2,40,30,40,0,50,80,30,1456,1456,1113,0,0,0,0,0,761,0,0
62867,3,30,0,0,0,0,70,20,1817,1817,1318,0,0,0,0,0,1236,0,0
62867,4,20,0,20,0,40,50,30,1904,1904,1551,0,0,0,0,0,1388,0,0
62867,5,20,0,20,0,0,70,0,3511,3511,1970,0,0,0,0,0,2847,0,0
62867,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62868,1,300,200,60,40,210,410,110,3726,3834,2683,20,10,0,0,0,535,0,0
62868,2,230,120,70,40,160,430,130,8374,8522,6672,0,0,30,0,0,4399,30,87
62868,3,120,40,80,0,90,310,110,7279,7479,5827,0,0,0,0,0,4732,0,0
62868,4,80,0,80,0,70,250,90,7247,7247,5476,0,0,0,0,0,5170,0,0
62868,5,120,0,100,0,110,330,110,18870,19283,10341,30,841,0,0,0,15401,0,0
62868,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62869,1,370,230,70,60,260,510,140,4306,4340,3007,0,0,0,0,0,496,0,0
62869,2,260,110,110,40,190,520,150,9734,9933,7050,30,353,30,0,0,4888,30,46
62869,3,170,50,100,20,120,370,100,10340,10513,7921,0,0,0,0,0,6845,0,0
62869,4,150,40,120,0,120,380,120,12653,12827,9288,0,0,30,0,0,9284,30,106
62869,5,160,0,160,0,150,440,150,20739,21157,16398,30,2634,0,375,259,16711,0,0
62869,6,20,0,0,0,0,60,0,8716,8716,0,0,0,0,0,0,7463,0,0
62870,1,330,230,50,50,150,430,120,3774,3785,2887,0,0,0,0,0,542,0,0
62870,2,280,150,70,60,140,490,150,9839,9904,7866,0,0,30,0,0,5233,0,0
62870,3,140,50,100,0,100,350,110,8898,8968,7171,30,50,0,0,0,5790,40,29
62870,4,80,0,70,0,60,220,60,7303,7342,5134,0,0,0,0,0,5295,0,0
62870,5,90,0,80,0,70,240,60,14456,14541,9051,0,0,0,0,0,11881,0,0
62870,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62871,1,70,40,0,20,40,110,30,841,893,564,0,0,0,0,0,86,0,0
62871,2,60,40,60,0,40,130,40,2283,2283,1794,0,0,0,0,0,1097,0,0
62871,3,30,0,0,0,30,60,30,1721,1721,2408,0,0,0,0,0,1098,0,0
62871,4,20,0,20,0,0,60,0,1985,2257,0,0,0,0,0,0,1319,0,0
62871,5,60,0,50,0,50,150,40,9428,9428,4008,0,0,0,0,0,7341,0,0
62871,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62872,1,190,130,40,0,100,240,70,2420,2469,1703,20,477,0,0,0,393,0,0
62872,2,140,50,70,40,90,300,100,4851,4944,3522,0,0,0,0,0,2222,0,0
62872,3,80,30,50,0,50,200,70,4958,4958,4151,0,0,0,0,0,3319,0,0
62872,4,50,0,40,0,40,140,50,4276,4379,3543,0,0,0,0,0,3099,0,0
62872,5,60,0,50,0,40,170,70,8040,8040,4437,0,0,0,0,0,6406,0,0
